Direction,ID,LEN,PLC,DATA,CRC,
"from",0x31,0x4E,0xB1,"0x8B 0x01 0x01 0x14 0x0C 0x38 0x0A 0x00 0x00 0x00 0xFF 0x00 0x00 0x00 0x00 0x00 0xFC 0x00 0x3F 0x00 0x00 0x00 0xC0 0x03 0x00 0xC0 0x03 0x00 0x00 0x38 0x00 0x00 0x00 0x1C 0x00 0x00 0x06 0x00 0x00 0x00 0x60 0x00 0x80 0x01 0x00 0x00 0x00 0x80 0x01 0x60 0x00 0x00 0x00 0x00 0x00 0x06 0x18 0x00 0x00 0x00 0x00 0x00 0x18 0x06 0x00 0x00 0x00 0x00 0x00 0x60 0x01 0x00 0x00 0x00 0x00 0x00 0x80",0x90,
"from",0x3D,0x02,0xFD,"0x8C",0x4E,
"from",0x55,0x04,0xFB,"0x8D 0x0A 0x3C",0x11,
"from",0x3D,0x02,0xFD,"0x8E",0x4C,
"to",0x0A,0x06,0xF9,"0x0B 0x02 0x02 0x3D 0x8C",0x4F,
"from",0x0D,0x02,0xFD,"0x0B",0xF9,
"to",0x0A,0x06,0xF9,"0x0C 0x02 0x00 0x11 0x8E",0x64,
"from",0x0D,0x02,0xFD,"0x0C",0xFE,
"from",0x55,0x04,0xFB,"0x8F 0x0A 0x3C",0x13,
"to",0x0A,0x06,0xF9,"0x0D 0x02 0x00 0x0C 0x8F",0x79,
"from",0x0D,0x02,0xFD,"0x0D",0xFF,
"from",0x53,0x03,0xFC,"0x90 0x01",0x3D,
"to",0x52,0x04,0xFB,"0x0E 0x01 0x38",0x9A,
"from",0x0D,0x02,0xFD,"0x0E",0xFC,
"to",0x0A,0x06,0xF9,"0x0F 0x02 0x00 0x10 0x90",0x78,
"from",0x0D,0x02,0xFD,"0x0F",0xFD,
"from",0x07,0x02,0xFD,"0x91",0x69,
"to",0x08,0x02,0xFD,"0x10",0xE7,
"from",0x0D,0x02,0xFD,"0x10",0xE2,
"to",0x0A,0x06,0xF9,"0x11 0x02 0x00 0x0F 0x91",0x78,
"from",0x0D,0x02,0xFD,"0x11",0xE3,
"from",0x55,0x04,0xFB,"0x92 0x0A 0x3C",0x0E,
"to",0x0A,0x06,0xF9,"0x12 0x02 0x00 0x0C 0x92",0x7B,
"from",0x0D,0x02,0xFD,"0x12",0xE0,
"from",0x3F,0x03,0xFC,"0x93 0x00",0x53,
"from",0x53,0x03,0xFC,"0x94 0x01",0x39,
"to",0x52,0x04,0xFB,"0x13 0x01 0x39",0x86,
"from",0x0D,0x02,0xFD,"0x13",0xE1,
"to",0x0A,0x06,0xF9,"0x14 0x02 0x00 0x16 0x94",0x61,
"from",0x0D,0x02,0xFD,"0x14",0xE6,
"from",0x07,0x02,0xFD,"0x95",0x6D,
"to",0x08,0x02,0xFD,"0x15",0xE2,
"from",0x0D,0x02,0xFD,"0x15",0xE7,
"to",0x0A,0x06,0xF9,"0x16 0x02 0x00 0x0F 0x95",0x7B,
"from",0x0D,0x02,0xFD,"0x16",0xE4,
"from",0x55,0x04,0xFB,"0x96 0x0A 0x3C",0x0A,
"to",0x0A,0x06,0xF9,"0x17 0x02 0x00 0x0C 0x96",0x7A,
"from",0x0D,0x02,0xFD,"0x17",0xE5,
"from",0x3D,0x02,0xFD,"0x97",0x55,
"from",0x3D,0x02,0xFD,"0x98",0x5A,
"from",0x3D,0x02,0xFD,"0x99",0x5B,
"from",0x3D,0x02,0xFD,"0x9A",0x58,
